baseline,client_id,lambda_k,q,p,x,mode,cost,utility
NoAIGC,0,0.42148337595907936,0.0,0.13769015627181413,1.0,zero,0.005190918891447392,0.0
NoAIGC,1,0.5028465632955335,0.0,0.0995649550484944,1.0,zero,0.003564757273919595,-4.336808689942018e-19
NoAIGC,2,0.46661338205069647,0.0,0.16362205172593866,1.0,zero,0.006369533770271249,8.673617379884035e-19
NoAIGC,3,0.32007452258966,0.0,0.10701632021861959,1.0,zero,0.002603707070919015,0.0
NoAIGC,4,0.4768595041322315,0.0,0.03531739839646926,1.0,zero,0.00037259855308275063,5.421010862427522e-20
NoAIGC,5,0.40199370409234003,0.0,0.1635534814877778,1.0,zero,0.009320912909988455,0.0
NoAIGC,6,0.44250117536436295,0.0,0.14081208732671047,1.0,zero,0.0027829162192002216,0.0
NoAIGC,7,0.4581842279655401,0.0,0.1490281229203316,1.0,zero,0.002030756554994385,0.0
NoAIGC,8,0.4538883806038426,0.0,0.03942459046120531,1.0,zero,0.001961044837191121,0.0
NoAIGC,9,0.5184599694033656,0.0,0.10494399468303363,1.0,zero,0.0016516435696531445,0.0
NoAIGC,10,0.2838983050847458,0.0,0.06056656825266288,1.0,zero,0.00409430001388001,0.0
NoAIGC,11,0.5437751004016065,0.0,0.2047429876769117,1.0,zero,0.0038764672333495283,-4.336808689942018e-19
NoAIGC,12,0.552475581003705,0.0,0.1518305100750767,1.0,zero,0.003362286645612573,0.0
NoAIGC,13,0.45734216951517265,0.0,0.15488313348262778,1.0,zero,0.004016119651204538,0.0
NoAIGC,14,0.40640243902439027,0.0,0.08407594837895645,1.0,zero,0.0005456529049794272,1.0842021724855044e-19
NoAIGC,15,0.5102367688022283,0.0,0.062175931186498744,1.0,zero,0.0014576110801154858,0.0
NoAIGC,16,0.4919077404222049,0.0,0.11791683439777298,1.0,zero,0.005108550322226184,0.0
NoAIGC,17,0.44686192468619246,0.0,0.028462247948568924,1.0,zero,0.000313559098233401,0.0
NoAIGC,18,0.4107569721115538,0.0,0.14338193492435722,1.0,zero,0.002120618817531243,0.0
NoAIGC,19,0.575391032325339,0.0,0.1574384928492766,1.0,zero,0.0021369651429408473,0.0
RandomIncentive,0,0.42148337595907936,0.0,0.0,0.0,exit,0.0,0.0
RandomIncentive,1,0.5028465632955335,0.0,0.0,0.0,exit,0.0,0.0
RandomIncentive,2,0.46661338205069647,0.0,0.0,0.0,exit,0.0,0.0
RandomIncentive,3,0.32007452258966,0.0,0.0,0.0,exit,0.0,0.0
RandomIncentive,4,0.4768595041322315,0.0,0.0,0.0,exit,0.0,0.0
RandomIncentive,5,0.40199370409234003,0.0,0.0,0.0,exit,0.0,0.0
RandomIncentive,6,0.44250117536436295,0.0,0.0,0.0,exit,0.0,0.0
RandomIncentive,7,0.4581842279655401,0.0,0.0,0.0,exit,0.0,0.0
RandomIncentive,8,0.4538883806038426,0.0,0.0,0.0,exit,0.0,0.0
RandomIncentive,9,0.5184599694033656,0.22989251195703597,2.5044968365919575,1.0,internal,0.05823452771682976,0.03895820796798417
RandomIncentive,10,0.2838983050847458,0.0,0.0,0.0,exit,0.0,0.0
RandomIncentive,11,0.5437751004016065,0.0,0.0,0.0,exit,0.0,0.0
RandomIncentive,12,0.552475581003705,0.0,0.0,0.0,exit,0.0,0.0
RandomIncentive,13,0.45734216951517265,0.0,0.0,0.0,exit,0.0,0.0
RandomIncentive,14,0.40640243902439027,0.0,0.0,0.0,exit,0.0,0.0
RandomIncentive,15,0.5102367688022283,0.0,0.0,0.0,exit,0.0,0.0
RandomIncentive,16,0.4919077404222049,0.0,0.0,0.0,exit,0.0,0.0
RandomIncentive,17,0.44686192468619246,0.0,0.0,0.0,exit,0.0,0.0
RandomIncentive,18,0.4107569721115538,0.0,0.0,0.0,exit,0.0,0.0
RandomIncentive,19,0.575391032325339,0.0,0.0,0.0,exit,0.0,0.0
FixedPrice,0,0.42148337595907936,0.0,0.16355346394083972,1.0,zero,0.006165965590569657,0.0009750466991222655
FixedPrice,1,0.5028465632955335,0.0,0.16355346394083972,1.0,zero,0.005855759187295199,0.002291001913375604
FixedPrice,2,0.46661338205069647,0.0,0.0,0.0,exit,0.0,0.0
FixedPrice,3,0.32007452258966,0.0,0.16355346394083972,1.0,zero,0.003979255777680631,0.0013755487067616161
FixedPrice,4,0.4768595041322315,0.0,0.16355346394083972,1.0,zero,0.0017254890445758588,0.0013528904914931082
FixedPrice,5,0.40199370409234003,0.0,0.0,0.0,exit,0.0,0.0
FixedPrice,6,0.44250117536436295,0.0,0.16355346394083972,1.0,zero,0.0032323616256841295,0.00044944540648390787
FixedPrice,7,0.4581842279655401,0.0,0.16355346394083972,1.0,zero,0.002228688535300509,0.00019793198030612419
FixedPrice,8,0.4538883806038426,0.0,0.16355346394083972,1.0,zero,0.008135421885523936,0.006174377048332815
FixedPrice,9,0.5184599694033656,0.0,0.16355346394083972,1.0,zero,0.0025740589333222495,0.000922415363669105
FixedPrice,10,0.2838983050847458,0.0,0.16355346394083972,1.0,zero,0.011056214162400765,0.006961914148520754
FixedPrice,11,0.5437751004016065,0.0,0.0,0.0,exit,0.0,0.0
